id,codexid,cote,element,theme
37969,47,E_06_14,ce,06.01.01
37970,47,E_06_14,tecpatl,04.04.08
37971,47,E_06_14,coztic,08.01.06
37972,47,E_06_15,xihuitl_4,06.01.04
37973,47,E_06_15,ce,06.01.01
37974,47,E_06_15,calli,05.01.01
37975,47,E_06_15,coztic,08.01.06
37976,47,E_06_16,maitl_1,01.03.05
37977,47,E_06_16,piqui,01.03.06
37978,47,E_06_16,mitl,05.13.01
37979,47,E_07_01,calli,05.01.01
37980,47,E_07_02,tlacatl,01.01.01
37981,47,E_07_02,coyotl,02.02.04
37982,47,E_07_05,xihuitl_4,06.01.04
37983,47,E_07_05,ce,06.01.01
37984,47,E_07_05,tochtli,02.02.08
37985,47,E_07_05,coztic,08.01.06
37986,47,E_07_06,xihuitl_4,06.01.04
37987,47,E_07_06,ce,06.01.01
37988,47,E_07_06,acatl,03.02.05
37989,47,E_07_06,coztic,08.01.06
37990,47,E_07_07,xihuitl_4,06.01.04
37991,47,E_07_07,ce,06.01.01
37992,47,E_07_07,tecpatl,04.04.08
37993,47,E_07_07,coztic,08.01.06
37994,47,E_07_08,xihuitl_4,06.01.04
37995,47,E_07_08,ce,06.01.01
37996,47,E_07_08,calli,05.01.01
37997,47,E_07_08,coztic,08.01.06
37998,47,E_07_09,xihuitl_4,06.01.04
37999,47,E_07_09,ce,06.01.01
38000,47,E_07_09,tochtli,02.02.08
38001,47,E_07_09,coztic,08.01.06
38002,47,E_07_09,xiuhtic,08.01.03
38003,47,E_07_10,xihuitl_4,06.01.04
38004,47,E_07_10,ce,06.01.01
38005,47,E_07_10,acatl,03.02.05
38006,47,E_07_10,xiuhtic,08.01.03
38007,47,E_07_11,xihuitl_4,06.01.04
38008,47,E_07_11,ce,06.01.01
38009,47,E_07_11,tecpatl,04.04.08
38010,47,E_07_11,xiuhtic,08.01.03
38011,47,E_07_12,xihuitl_4,06.01.04
38012,47,E_07_12,ce,06.01.01
38013,47,E_07_12,calli,05.01.01
38014,47,E_07_12,xiuhtic,08.01.03
38015,47,E_07_13,xihuitl_4,06.01.04
38016,47,E_07_13,ce,06.01.01
38017,47,E_07_13,tochtli,02.02.08
38018,47,E_07_13,xiuhtic,08.01.03
38019,47,E_07_14,xihuitl_4,06.01.04
38020,47,E_07_14,ce,06.01.01
38021,47,E_07_14,acatl,03.02.05
38022,47,E_07_14,xiuhtic,08.01.03
38023,47,E_07_15,xihuitl_4,06.01.04
38024,47,E_07_15,ce,06.01.01
38025,47,E_07_15,tecpatl,04.04.08
38026,47,E_07_15,xiuhtic,08.01.03
38027,47,E_07_16,xihuitl_4,06.01.04
38028,47,E_07_16,ce,06.01.01
38029,47,E_07_16,calli,05.01.01
38030,47,E_07_16,xiuhtic,08.01.03
38031,47,E_07_17,xihuitl_4,06.01.04
38032,47,E_07_17,ce,06.01.01
38033,47,E_07_17,tochtli,02.02.08
38034,47,E_07_17,xiuhtic,08.01.03
38035,47,E_07_18,xihuitl_4,06.01.04
38036,47,E_07_18,ce,06.01.01
38037,47,E_07_18,acatl,03.02.05
38038,47,E_07_18,xiuhtic,08.01.03
38039,47,E_07_18,tlalpilli,05.12.08
38040,47,E_07_19,xihuitl_4,06.01.04
38041,47,E_07_19,ce,06.01.01
38042,47,E_07_19,tecpatl,04.04.08
38043,47,E_07_19,xiuhtic,08.01.03
38044,47,E_07_20,maitl_1,01.03.05
