id,codexid,cote,lecture,element
3825,10,073_01_D_02A_06A,línea roja de enlace," línea_enlace,"
3826,10,073_01_D_02A_06B,línea roja de enlace," línea_enlace, xocpalmachiyotl,"
3827,10,073_01_D_02A_08B,línea roja de enlace," línea_enlace, xocpalmachiyotl,"
3828,10,073_01_D_02C_03C,línea negra de enlace," línea_enlace,"
3829,10,073_01_D_03C_04C,línea negra de enlace," línea_enlace,"
3830,10,073_01_D_03C_05C,línea roja de enlace," línea_enlace,"
3831,10,073_01_D_03C_06C,línea azul de enlace," línea_enlace,"
3832,10,073_01_D_04B_02C,línea negra de enlace," línea_enlace,"
3833,10,073_01_D_06A_09B,línea azul de enlace," línea_enlace, xocpalmachiyotl,"
3834,10,073_01_D_06B_16C,línea amarilla de enlace," línea_enlace,"
3835,10,073_01_D_06B_17C,línea amarilla de enlace," línea_enlace,"
3836,10,073_01_D_06C_09C,línea roja de enlace," línea_enlace,"
3837,10,073_01_D_06C_12C,línea roja de enlace," línea_enlace,"
3838,10,073_01_D_07A_13B,línea amarilla de enlace," línea_enlace,"
3839,10,073_01_D_07C_08C,línea roja de enlace," línea_enlace,"
3840,10,073_01_D_08A_07B,línea negra de enlace," xocpalmachiyotl, línea_enlace,"
3841,10,073_01_D_08A_09A,línea negra de enlace," línea_enlace,"
3842,10,073_01_D_08B_10B,línea negra de enlace," línea_enlace,"
3843,10,073_01_D_08B_11B,línea negra de enlace," línea_enlace,"
3844,10,073_01_D_08B_13B,línea azul de enlace," línea_enlace,"
3845,10,073_01_D_08B_14A,línea amarilla de enlace," línea_enlace,"
3846,10,073_01_D_08B_20C,línea azul de enlace," línea_enlace,"
3847,10,073_01_D_09A_11A,línea roja de enlace," línea_enlace,"
3848,10,073_01_D_09C_10C,línea roja de enlace," línea_enlace,"
3849,10,073_01_D_09C_21C,línea azul de enlace," línea_enlace, xocpalmachiyotl,"
3850,10,073_01_D_10B_19C,línea roja de enlace," línea_enlace,"
3851,10,073_01_D_11A_10A,línea roja de enlace," línea_enlace,"
3852,10,073_01_D_11B_12B,línea roja de enlace," línea_enlace,"
3853,10,073_01_D_11B_15B,línea roja de enlace," línea_enlace,"
3854,10,073_01_D_11C_10C,línea roja de enlace," línea_enlace,"
